CREATE,READ,UPDATE,DELETE,SIGN_UP,LOG_IN,LOG_OUT,OTHER,File Name
0.6,0.8333333333333334,0.3333333333333333,1.0,NaN,1.0,NaN,NaN,resources/tagged/CrAPI.json

1.0,1.0,1.0,1.0,NaN,NaN,NaN,NaN,resources/tagged_andrea/netlicensing.json

1.0,0.6666666666666666,NaN,NaN,NaN,NaN,NaN,NaN,resources/tagged_andrea/netatmo.json

NaN,1.0,NaN,NaN,NaN,NaN,NaN,NaN,resources/tagged_andrea/football_prediction.json

1.0,1.0,1.0,1.0,NaN,1.0,NaN,NaN,resources/tagged/vampi.json

1.0,0.9,0.0,1.0,NaN,NaN,NaN,NaN,resources/tagged_andrea/openai.json

1.0,0.9767441860465116,1.0,0.5,NaN,NaN,NaN,NaN,resources/tagged_andrea/fitbit.json

1.0,1.0,1.0,1.0,NaN,NaN,NaN,NaN,resources/tagged_andrea/ynab.json

NaN,1.0,NaN,NaN,NaN,NaN,NaN,NaN,resources/tagged_andrea/openbanking.json

NaN,1.0,NaN,NaN,NaN,NaN,NaN,NaN,resources/tagged_andrea/tisane.json

1.0,0.9620253164556962,0.875,1.0,NaN,NaN,NaN,NaN,resources/tagged_andrea/noosh.json

NaN,0.8888888888888888,NaN,NaN,NaN,NaN,NaN,NaN,resources/tagged_andrea/europeana.json

0.75,1.0,1.0,1.0,NaN,NaN,NaN,NaN,resources/tagged_andrea/paylocity.json

1.0,1.0,1.0,1.0,NaN,NaN,NaN,NaN,resources/tagged/books_rest_api_openapi.json

1.0,0.8,1.0,1.0,NaN,1.0,NaN,NaN,resources/tagged/simplequiz-api.json

0.09090909090909091,0.5384615384615384,0.5,0.4166666666666667,NaN,NaN,NaN,NaN,resources/tagged_andrea/AWS_S3_control.json

NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,resources/tagged/favorite_product.json

1.0,1.0,NaN,1.0,NaN,NaN,NaN,NaN,resources/tagged/dkron.json

NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,resources/tagged_andrea/soundcloud.json

NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,resources/tagged/lycet.json

NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,resources/tagged_andrea/paypi.json

1.0,1.0,1.0,1.0,NaN,NaN,NaN,NaN,resources/tagged/celerio_openapi.json

NaN,1.0,0.0,NaN,NaN,NaN,NaN,NaN,resources/tagged_andrea/eBay_Finances_API.json

1.0,1.0,1.0,1.0,NaN,NaN,NaN,NaN,resources/tagged/marvel-api.json

0.0,1.0,NaN,0.5,NaN,NaN,NaN,NaN,resources/tagged_andrea/AWS_S3_outposts.json

NaN,0.875,1.0,1.0,NaN,NaN,NaN,NaN,resources/tagged_andrea/notion.json

1.0,0.7272727272727273,1.0,0.75,NaN,1.0,NaN,NaN,resources/tagged/koel.json

1.0,1.0,NaN,1.0,NaN,NaN,NaN,NaN,resources/tagged_andrea/openbanking_uk.json

1.0,1.0,1.0,1.0,NaN,NaN,NaN,NaN,resources/tagged/planeje.json

0.4827586206896552,0.7021276595744681,0.6470588235294118,1.0,NaN,NaN,NaN,NaN,resources/tagged_andrea/asana.json

1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,resources/tagged_andrea/topups.json

0.0,0.6666666666666666,1.0,1.0,NaN,1.0,NaN,NaN,resources/tagged_andrea/authentiq.json

1.0,1.0,1.0,1.0,NaN,NaN,NaN,NaN,resources/tagged/market_openapi.json

NaN,1.0,0.0,NaN,NaN,NaN,NaN,NaN,resources/tagged_andrea/opendata.json

NaN,1.0,NaN,NaN,NaN,NaN,NaN,NaN,resources/tagged_andrea/vonage.json

NaN,1.0,NaN,NaN,NaN,NaN,NaN,NaN,resources/tagged_andrea/proxy_kingdom.json

0.5,0.5490196078431373,0.8333333333333334,1.0,NaN,NaN,NaN,NaN,resources/tagged_andrea/paypal.json

NaN,1.0,NaN,NaN,NaN,NaN,NaN,NaN,resources/tagged_andrea/uk_parliament.json

0.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,resources/tagged_andrea/the_blue_alliance.json

NaN,1.0,NaN,NaN,NaN,NaN,NaN,NaN,resources/tagged_andrea/wordnik.json

